group_id,participant_id,stimuli_presented,context_type,silly_or_annoying,sarc,witty,z_silly_or_annoying,z_sarc,z_witty,intention,int1_crit_harsher,int2_crit_softer,int3_mock_hilarious,int4_mock_friendly,int5_natural,int6_direct,int7_be_nice,int8_clever,generally_sarcastic,sarc_def1,sarc_def2,sarc_def3,sarc_def4,sarc_def5,gender,edu,native,b5_agreeableness,b5_agreeableness_2,b5_conscientiousness,b5_conscientiousness_2,b5_extraversion,b5_extraversion_2,b5_neuroticism,b5_neuroticism_2,b5_openness,b5_openness_2,b5_agree,b5_consci,b5_extra,b5_neuro,b5_open
Group50,8a6b2ea2345b3b73cfd311f008e74c368b7a0e9bd5f38cbdf9e8977b6db72142,example,n,5,6,4,1.082849225,3.03733847,-0.220869924,['mock_friendly'],0,0,0,1,0,0,0,0,5,6,6,4,4,4,male,undergraduate degree,Other,5,5,5,5,1,3,3,2,3,5,5,5,2,2.5,4
Group50,8a6b2ea2345b3b73cfd311f008e74c368b7a0e9bd5f38cbdf9e8977b6db72142,3n,n,5,3,6,1.082849225,-0.768946448,1.861617927,['natural'],0,0,0,0,1,0,0,0,5,6,6,4,4,4,male,undergraduate degree,Other,5,5,5,5,1,3,3,2,3,5,5,5,2,2.5,4
Group50,8a6b2ea2345b3b73cfd311f008e74c368b7a0e9bd5f38cbdf9e8977b6db72142,2n,n,3,4,3,-1.019152212,0.499815191,-1.262113849,['mock_friendly'],0,0,0,1,0,0,0,0,5,6,6,4,4,4,male,undergraduate degree,Other,5,5,5,5,1,3,3,2,3,5,5,5,2,2.5,4
Group50,8a6b2ea2345b3b73cfd311f008e74c368b7a0e9bd5f38cbdf9e8977b6db72142,8nn,nn,5,4,6,1.082849225,0.499815191,1.861617927,['clever'],0,0,0,0,0,0,0,1,5,6,6,4,4,4,male,undergraduate degree,Other,5,5,5,5,1,3,3,2,3,5,5,5,2,2.5,4
Group50,8a6b2ea2345b3b73cfd311f008e74c368b7a0e9bd5f38cbdf9e8977b6db72142,2nn,nn,5,5,3,1.082849225,1.768576831,-1.262113849,['mock_friendly'],0,0,0,1,0,0,0,0,5,6,6,4,4,4,male,undergraduate degree,Other,5,5,5,5,1,3,3,2,3,5,5,5,2,2.5,4
Group50,8a6b2ea2345b3b73cfd311f008e74c368b7a0e9bd5f38cbdf9e8977b6db72142,6nn,nn,6,3,6,2.133849944,-0.768946448,1.861617927,['crit_harsher'],1,0,0,0,0,0,0,0,5,6,6,4,4,4,male,undergraduate degree,Other,5,5,5,5,1,3,3,2,3,5,5,5,2,2.5,4
Group50,8a6b2ea2345b3b73cfd311f008e74c368b7a0e9bd5f38cbdf9e8977b6db72142,11n,n,3,4,4,-1.019152212,0.499815191,-0.220869924,['be_nice'],0,0,0,0,0,0,1,0,5,6,6,4,4,4,male,undergraduate degree,Other,5,5,5,5,1,3,3,2,3,5,5,5,2,2.5,4
Group50,8a6b2ea2345b3b73cfd311f008e74c368b7a0e9bd5f38cbdf9e8977b6db72142,15n,n,3,3,4,-1.019152212,-0.768946448,-0.220869924,['natural'],0,0,0,0,1,0,0,0,5,6,6,4,4,4,male,undergraduate degree,Other,5,5,5,5,1,3,3,2,3,5,5,5,2,2.5,4
Group50,8a6b2ea2345b3b73cfd311f008e74c368b7a0e9bd5f38cbdf9e8977b6db72142,9n,n,3,4,5,-1.019152212,0.499815191,0.820374002,['direct'],0,0,0,0,0,1,0,0,5,6,6,4,4,4,male,undergraduate degree,Other,5,5,5,5,1,3,3,2,3,5,5,5,2,2.5,4
Group50,8a6b2ea2345b3b73cfd311f008e74c368b7a0e9bd5f38cbdf9e8977b6db72142,7n,n,5,3,3,1.082849225,-0.768946448,-1.262113849,['natural'],0,0,0,0,1,0,0,0,5,6,6,4,4,4,male,undergraduate degree,Other,5,5,5,5,1,3,3,2,3,5,5,5,2,2.5,4
